------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 2222
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 59934 connected with 10.0.0.4 port 2222
[ ID] Interval       Transfer     Bandwidth
[  1] 393.0000-394.0000 sec   109 MBytes   914 Mbits/sec
[  1] 394.0000-395.0000 sec   109 MBytes   914 Mbits/sec
[  1] 395.0000-396.0000 sec   110 MBytes   923 Mbits/sec
[  1] 396.0000-397.0000 sec   109 MBytes   915 Mbits/sec
[  1] 397.0000-398.0000 sec   109 MBytes   915 Mbits/sec
[  1] 398.0000-399.0000 sec   110 MBytes   923 Mbits/sec
[  1] 399.0000-400.0000 sec   109 MBytes   914 Mbits/sec
[  1] 400.0000-401.0000 sec   110 MBytes   923 Mbits/sec
[  1] 401.0000-402.0000 sec   109 MBytes   915 Mbits/sec
[  1] 402.0000-403.0000 sec   110 MBytes   923 Mbits/sec
[  1] 403.0000-404.0000 sec   109 MBytes   914 Mbits/sec
[  1] 404.0000-405.0000 sec   109 MBytes   914 Mbits/sec
[  1] 405.0000-406.0000 sec   110 MBytes   923 Mbits/sec
[  1] 406.0000-407.0000 sec   109 MBytes   915 Mbits/sec
[  1] 407.0000-408.0000 sec   110 MBytes   923 Mbits/sec
[  1] 408.0000-409.0000 sec   109 MBytes   914 Mbits/sec
[  1] 409.0000-410.0000 sec   109 MBytes   915 Mbits/sec
[  1] 410.0000-411.0000 sec   110 MBytes   923 Mbits/sec
[  1] 411.0000-412.0000 sec   109 MBytes   914 Mbits/sec
[  1] 412.0000-413.0000 sec   110 MBytes   923 Mbits/sec
[  1] 413.0000-414.0000 sec   109 MBytes   914 Mbits/sec
[  1] 414.0000-415.0000 sec   109 MBytes   915 Mbits/sec
[  1] 415.0000-416.0000 sec   110 MBytes   923 Mbits/sec
[  1] 416.0000-417.0000 sec   109 MBytes   914 Mbits/sec
[  1] 417.0000-418.0000 sec   110 MBytes   923 Mbits/sec
[  1] 418.0000-419.0000 sec   109 MBytes   915 Mbits/sec
[  1] 419.0000-420.0000 sec   109 MBytes   914 Mbits/sec
[  1] 420.0000-421.0000 sec   110 MBytes   923 Mbits/sec
[  1] 421.0000-422.0000 sec   109 MBytes   915 Mbits/sec
[  1] 422.0000-423.0000 sec   110 MBytes   922 Mbits/sec
[  1] 423.0000-424.0000 sec   109 MBytes   915 Mbits/sec
[  1] 424.0000-425.0000 sec   110 MBytes   923 Mbits/sec
[  1] 425.0000-426.0000 sec   109 MBytes   914 Mbits/sec
[  1] 426.0000-427.0000 sec   109 MBytes   915 Mbits/sec
[  1] 427.0000-428.0000 sec   110 MBytes   923 Mbits/sec
[  1] 428.0000-429.0000 sec   109 MBytes   914 Mbits/sec
[  1] 429.0000-430.0000 sec   110 MBytes   923 Mbits/sec
[  1] 430.0000-431.0000 sec   109 MBytes   915 Mbits/sec
[  1] 431.0000-432.0000 sec   109 MBytes   915 Mbits/sec
[  1] 432.0000-433.0000 sec   110 MBytes   922 Mbits/sec
[  1] 433.0000-434.0000 sec   109 MBytes   915 Mbits/sec
[  1] 434.0000-435.0000 sec   110 MBytes   923 Mbits/sec
[  1] 435.0000-436.0000 sec   109 MBytes   915 Mbits/sec
[  1] 436.0000-437.0000 sec   109 MBytes   914 Mbits/sec
[  1] 437.0000-438.0000 sec   110 MBytes   923 Mbits/sec
[  1] 438.0000-439.0000 sec   109 MBytes   915 Mbits/sec
[  1] 439.0000-440.0000 sec   110 MBytes   923 Mbits/sec
[  1] 440.0000-441.0000 sec   109 MBytes   914 Mbits/sec
[  1] 441.0000-442.0000 sec   109 MBytes   915 Mbits/sec
[  1] 442.0000-443.0000 sec   110 MBytes   922 Mbits/sec
[  1] 443.0000-444.0000 sec   109 MBytes   915 Mbits/sec
[  1] 444.0000-445.0000 sec   110 MBytes   923 Mbits/sec
[  1] 445.0000-446.0000 sec   109 MBytes   914 Mbits/sec
[  1] 446.0000-447.0000 sec   109 MBytes   915 Mbits/sec
[  1] 447.0000-448.0000 sec   110 MBytes   923 Mbits/sec
[  1] 448.0000-449.0000 sec   109 MBytes   915 Mbits/sec
[  1] 449.0000-450.0000 sec   110 MBytes   923 Mbits/sec
[  1] 450.0000-451.0000 sec   109 MBytes   914 Mbits/sec
[  1] 451.0000-452.0000 sec   109 MBytes   915 Mbits/sec
[  1] 452.0000-453.0000 sec   110 MBytes   922 Mbits/sec
[  1] 453.0000-454.0000 sec   109 MBytes   915 Mbits/sec
[  1] 454.0000-455.0000 sec   110 MBytes   923 Mbits/sec
[  1] 455.0000-456.0000 sec   109 MBytes   914 Mbits/sec
[  1] 456.0000-457.0000 sec   109 MBytes   915 Mbits/sec
[  1] 457.0000-458.0000 sec   110 MBytes   923 Mbits/sec
[  1] 458.0000-459.0000 sec   109 MBytes   915 Mbits/sec
[  1] 459.0000-460.0000 sec   110 MBytes   923 Mbits/sec
[  1] 460.0000-461.0000 sec   109 MBytes   914 Mbits/sec
[  1] 461.0000-462.0000 sec   109 MBytes   914 Mbits/sec
[  1] 462.0000-463.0000 sec   110 MBytes   923 Mbits/sec
[  1] 463.0000-464.0000 sec   109 MBytes   915 Mbits/sec
[  1] 464.0000-465.0000 sec   110 MBytes   923 Mbits/sec
[  1] 465.0000-466.0000 sec   109 MBytes   914 Mbits/sec
[  1] 466.0000-467.0000 sec   110 MBytes   923 Mbits/sec
[  1] 467.0000-468.0000 sec   109 MBytes   915 Mbits/sec
[  1] 468.0000-469.0000 sec   109 MBytes   914 Mbits/sec
[  1] 469.0000-470.0000 sec   110 MBytes   923 Mbits/sec
[  1] 470.0000-471.0000 sec   109 MBytes   915 Mbits/sec
[  1] 471.0000-472.0000 sec   110 MBytes   922 Mbits/sec
[  1] 472.0000-473.0000 sec   109 MBytes   915 Mbits/sec
[  1] 473.0000-474.0000 sec   109 MBytes   914 Mbits/sec
[  1] 474.0000-475.0000 sec   110 MBytes   923 Mbits/sec
[  1] 475.0000-476.0000 sec   109 MBytes   915 Mbits/sec
[  1] 476.0000-477.0000 sec   110 MBytes   923 Mbits/sec
[  1] 477.0000-478.0000 sec   109 MBytes   914 Mbits/sec
[  1] 478.0000-479.0000 sec   109 MBytes   915 Mbits/sec
[  1] 479.0000-480.0000 sec   110 MBytes   923 Mbits/sec
[  1] 480.0000-481.0000 sec   109 MBytes   914 Mbits/sec
[  1] 481.0000-482.0000 sec   110 MBytes   919 Mbits/sec
[  1] 482.0000-483.0000 sec   109 MBytes   915 Mbits/sec
[  1] 483.0000-484.0000 sec   110 MBytes   923 Mbits/sec
[  1] 484.0000-485.0000 sec   109 MBytes   914 Mbits/sec
[  1] 485.0000-486.0000 sec   109 MBytes   915 Mbits/sec
[  1] 486.0000-487.0000 sec   110 MBytes   923 Mbits/sec
[  1] 487.0000-488.0000 sec   109 MBytes   914 Mbits/sec
[  1] 488.0000-489.0000 sec   110 MBytes   923 Mbits/sec
[  1] 489.0000-490.0000 sec   109 MBytes   915 Mbits/sec
[  1] 490.0000-491.0000 sec   110 MBytes   922 Mbits/sec
[  1] 491.0000-492.0000 sec   109 MBytes   915 Mbits/sec
[  1] 492.0000-493.0000 sec   109 MBytes   914 Mbits/sec
[  1] 493.0000-494.0000 sec   110 MBytes   923 Mbits/sec
[  1] 494.0000-495.0000 sec   109 MBytes   915 Mbits/sec
[  1] 495.0000-496.0000 sec   110 MBytes   923 Mbits/sec
[  1] 496.0000-497.0000 sec   109 MBytes   914 Mbits/sec
[  1] 497.0000-498.0000 sec   109 MBytes   915 Mbits/sec
[  1] 498.0000-499.0000 sec   110 MBytes   923 Mbits/sec
[  1] 499.0000-500.0000 sec   109 MBytes   914 Mbits/sec
[  1] 500.0000-501.0000 sec   110 MBytes   923 Mbits/sec
[  1] 501.0000-502.0000 sec   109 MBytes   914 Mbits/sec
[  1] 502.0000-503.0000 sec   109 MBytes   915 Mbits/sec
[  1] 503.0000-504.0000 sec   110 MBytes   923 Mbits/sec
[  1] 504.0000-505.0000 sec   109 MBytes   914 Mbits/sec
[  1] 505.0000-506.0000 sec   110 MBytes   923 Mbits/sec
[  1] 506.0000-507.0000 sec   109 MBytes   915 Mbits/sec
[  1] 507.0000-508.0000 sec   110 MBytes   923 Mbits/sec
[  1] 508.0000-509.0000 sec   109 MBytes   914 Mbits/sec
[  1] 509.0000-510.0000 sec   109 MBytes   914 Mbits/sec
[  1] 510.0000-511.0000 sec   110 MBytes   923 Mbits/sec
[  1] 511.0000-512.0000 sec   109 MBytes   915 Mbits/sec
[  1] 512.0000-513.0000 sec   110 MBytes   923 Mbits/sec
[  1] 513.0000-514.0000 sec   109 MBytes   914 Mbits/sec
[  1] 514.0000-515.0000 sec   109 MBytes   915 Mbits/sec
[  1] 515.0000-516.0000 sec   110 MBytes   923 Mbits/sec
[  1] 516.0000-517.0000 sec   109 MBytes   915 Mbits/sec
[  1] 517.0000-518.0000 sec   110 MBytes   923 Mbits/sec
[  1] 518.0000-519.0000 sec   109 MBytes   914 Mbits/sec
[  1] 519.0000-520.0000 sec   109 MBytes   914 Mbits/sec
[  1] 520.0000-521.0000 sec   110 MBytes   923 Mbits/sec
[  1] 521.0000-522.0000 sec   109 MBytes   915 Mbits/sec
[  1] 522.0000-523.0000 sec   110 MBytes   923 Mbits/sec
[  1] 523.0000-524.0000 sec   109 MBytes   914 Mbits/sec
[  1] 524.0000-525.0000 sec   109 MBytes   915 Mbits/sec
[  1] 525.0000-526.0000 sec   110 MBytes   923 Mbits/sec
[  1] 526.0000-527.0000 sec   109 MBytes   914 Mbits/sec
[  1] 527.0000-528.0000 sec   110 MBytes   923 Mbits/sec
[  1] 528.0000-529.0000 sec   109 MBytes   914 Mbits/sec
[  1] 529.0000-530.0000 sec   110 MBytes   920 Mbits/sec
[  1] 530.0000-531.0000 sec   110 MBytes   919 Mbits/sec
[  1] 531.0000-532.0000 sec   109 MBytes   914 Mbits/sec
[  1] 532.0000-533.0000 sec   110 MBytes   923 Mbits/sec
[  1] 533.0000-534.0000 sec   109 MBytes   915 Mbits/sec
[  1] 534.0000-535.0000 sec   110 MBytes   923 Mbits/sec
[  1] 535.0000-536.0000 sec   109 MBytes   914 Mbits/sec
[  1] 536.0000-537.0000 sec   109 MBytes   915 Mbits/sec
[  1] 537.0000-538.0000 sec   110 MBytes   923 Mbits/sec
[  1] 538.0000-539.0000 sec   109 MBytes   914 Mbits/sec
[  1] 539.0000-540.0000 sec   110 MBytes   923 Mbits/sec
[  1] 540.0000-541.0000 sec   109 MBytes   915 Mbits/sec
[  1] 541.0000-542.0000 sec   109 MBytes   914 Mbits/sec
[  1] 542.0000-543.0000 sec   110 MBytes   923 Mbits/sec
[  1] 543.0000-544.0000 sec   109 MBytes   915 Mbits/sec
[  1] 544.0000-545.0000 sec   110 MBytes   923 Mbits/sec
[  1] 545.0000-546.0000 sec   109 MBytes   914 Mbits/sec
[  1] 546.0000-547.0000 sec   109 MBytes   915 Mbits/sec
[  1] 547.0000-548.0000 sec   110 MBytes   922 Mbits/sec
[  1] 548.0000-549.0000 sec   109 MBytes   915 Mbits/sec
[  1] 549.0000-550.0000 sec   110 MBytes   923 Mbits/sec
[  1] 550.0000-551.0000 sec   109 MBytes   914 Mbits/sec
[  1] 551.0000-552.0000 sec   109 MBytes   915 Mbits/sec
[  1] 552.0000-553.0000 sec   110 MBytes   923 Mbits/sec
[  1] 553.0000-554.0000 sec   109 MBytes   914 Mbits/sec
[  1] 554.0000-555.0000 sec   110 MBytes   923 Mbits/sec
[  1] 555.0000-556.0000 sec   109 MBytes   915 Mbits/sec
[  1] 556.0000-557.0000 sec   110 MBytes   923 Mbits/sec
[  1] 557.0000-558.0000 sec   109 MBytes   914 Mbits/sec
[  1] 558.0000-559.0000 sec   109 MBytes   914 Mbits/sec
[  1] 559.0000-560.0000 sec   110 MBytes   923 Mbits/sec
[  1] 560.0000-561.0000 sec   109 MBytes   915 Mbits/sec
[  1] 561.0000-562.0000 sec   110 MBytes   923 Mbits/sec
[  1] 562.0000-563.0000 sec   109 MBytes   914 Mbits/sec
[  1] 563.0000-564.0000 sec   109 MBytes   915 Mbits/sec
[  1] 564.0000-565.0000 sec   110 MBytes   923 Mbits/sec
[  1] 565.0000-566.0000 sec   109 MBytes   914 Mbits/sec
[  1] 566.0000-567.0000 sec   110 MBytes   923 Mbits/sec
[  1] 567.0000-568.0000 sec   109 MBytes   914 Mbits/sec
[  1] 568.0000-569.0000 sec   109 MBytes   915 Mbits/sec
[  1] 569.0000-570.0000 sec   110 MBytes   923 Mbits/sec
[  1] 570.0000-571.0000 sec   109 MBytes   914 Mbits/sec
[  1] 571.0000-572.0000 sec   110 MBytes   923 Mbits/sec
[  1] 572.0000-573.0000 sec   109 MBytes   915 Mbits/sec
[  1] 573.0000-574.0000 sec   110 MBytes   923 Mbits/sec
[  1] 574.0000-575.0000 sec   109 MBytes   914 Mbits/sec
[  1] 575.0000-576.0000 sec   109 MBytes   915 Mbits/sec
[  1] 576.0000-577.0000 sec   110 MBytes   922 Mbits/sec
[  1] 577.0000-578.0000 sec   109 MBytes   915 Mbits/sec
[  1] 578.0000-579.0000 sec   110 MBytes   923 Mbits/sec
[  1] 579.0000-580.0000 sec   109 MBytes   915 Mbits/sec
[  1] 580.0000-581.0000 sec   109 MBytes   914 Mbits/sec
[  1] 581.0000-582.0000 sec   110 MBytes   923 Mbits/sec
[  1] 582.0000-583.0000 sec   109 MBytes   915 Mbits/sec
[  1] 583.0000-584.0000 sec   110 MBytes   923 Mbits/sec
[  1] 584.0000-585.0000 sec   109 MBytes   914 Mbits/sec
[  1] 585.0000-586.0000 sec   109 MBytes   915 Mbits/sec
[  1] 586.0000-587.0000 sec   110 MBytes   922 Mbits/sec
[  1] 587.0000-588.0000 sec   109 MBytes   915 Mbits/sec
[  1] 588.0000-589.0000 sec   110 MBytes   923 Mbits/sec
[  1] 589.0000-590.0000 sec   109 MBytes   914 Mbits/sec
[  1] 590.0000-591.0000 sec   109 MBytes   915 Mbits/sec
[  1] 591.0000-592.0000 sec   110 MBytes   923 Mbits/sec
[  1] 592.0000-593.0000 sec   109 MBytes   915 Mbits/sec
[  1] 593.0000-594.0000 sec   110 MBytes   923 Mbits/sec
[  1] 594.0000-595.0000 sec   109 MBytes   914 Mbits/sec
[  1] 595.0000-596.0000 sec   109 MBytes   915 Mbits/sec
[  1] 596.0000-597.0000 sec   110 MBytes   922 Mbits/sec
[  1] 597.0000-598.0000 sec   109 MBytes   915 Mbits/sec
[  1] 598.0000-599.0000 sec   110 MBytes   923 Mbits/sec
[  1] 599.0000-600.0000 sec   109 MBytes   914 Mbits/sec
[  1] 600.0000-601.0000 sec   110 MBytes   919 Mbits/sec
[  1] 601.0000-602.0000 sec   109 MBytes   914 Mbits/sec
[  1] 602.0000-603.0000 sec   110 MBytes   923 Mbits/sec
[  1] 603.0000-604.0000 sec   109 MBytes   915 Mbits/sec
[  1] 604.0000-605.0000 sec   109 MBytes   914 Mbits/sec
[  1] 605.0000-606.0000 sec   110 MBytes   923 Mbits/sec
[  1] 606.0000-607.0000 sec   109 MBytes   914 Mbits/sec
[  1] 607.0000-608.0000 sec   110 MBytes   923 Mbits/sec
[  1] 608.0000-609.0000 sec   109 MBytes   915 Mbits/sec
[  1] 609.0000-610.0000 sec   109 MBytes   914 Mbits/sec
[  1] 610.0000-611.0000 sec   110 MBytes   923 Mbits/sec
[  1] 611.0000-612.0000 sec   109 MBytes   915 Mbits/sec
[  1] 612.0000-613.0000 sec   110 MBytes   923 Mbits/sec
[  1] 613.0000-614.0000 sec   109 MBytes   914 Mbits/sec
[  1] 614.0000-615.0000 sec   109 MBytes   915 Mbits/sec
[  1] 615.0000-616.0000 sec   110 MBytes   922 Mbits/sec
[  1] 616.0000-617.0000 sec   109 MBytes   915 Mbits/sec
[  1] 617.0000-618.0000 sec   110 MBytes   923 Mbits/sec
[  1] 618.0000-619.0000 sec   109 MBytes   914 Mbits/sec
[  1] 619.0000-620.0000 sec   110 MBytes   923 Mbits/sec
[  1] 620.0000-621.0000 sec   109 MBytes   915 Mbits/sec
[  1] 621.0000-622.0000 sec   109 MBytes   915 Mbits/sec
[  1] 622.0000-623.0000 sec   110 MBytes   923 Mbits/sec
[  1] 623.0000-624.0000 sec   109 MBytes   914 Mbits/sec
[  1] 624.0000-625.0000 sec   109 MBytes   915 Mbits/sec
[  1] 625.0000-626.0000 sec   110 MBytes   922 Mbits/sec
[  1] 626.0000-627.0000 sec   109 MBytes   915 Mbits/sec
[  1] 627.0000-628.0000 sec   110 MBytes   923 Mbits/sec
[  1] 628.0000-629.0000 sec   109 MBytes   914 Mbits/sec
[  1] 629.0000-630.0000 sec   110 MBytes   923 Mbits/sec
[  1] 630.0000-631.0000 sec   109 MBytes   915 Mbits/sec
[  1] 631.0000-632.0000 sec   109 MBytes   914 Mbits/sec
[  1] 632.0000-633.0000 sec   110 MBytes   923 Mbits/sec
[  1] 633.0000-634.0000 sec   109 MBytes   915 Mbits/sec
[  1] 634.0000-635.0000 sec   110 MBytes   922 Mbits/sec
[  1] 635.0000-636.0000 sec   109 MBytes   915 Mbits/sec
[  1] 636.0000-637.0000 sec   109 MBytes   914 Mbits/sec
[  1] 637.0000-638.0000 sec   110 MBytes   924 Mbits/sec
[  1] 638.0000-639.0000 sec   109 MBytes   914 Mbits/sec
[  1] 639.0000-640.0000 sec   110 MBytes   923 Mbits/sec
[  1] 640.0000-641.0000 sec   109 MBytes   915 Mbits/sec
[  1] 641.0000-642.0000 sec   109 MBytes   915 Mbits/sec
[  1] 642.0000-643.0000 sec   110 MBytes   923 Mbits/sec
[  1] 643.0000-644.0000 sec   109 MBytes   914 Mbits/sec
[  1] 644.0000-645.0000 sec   110 MBytes   923 Mbits/sec
[  1] 645.0000-646.0000 sec   109 MBytes   914 Mbits/sec
[  1] 646.0000-647.0000 sec   109 MBytes   915 Mbits/sec
[  1] 647.0000-648.0000 sec   110 MBytes   923 Mbits/sec
[  1] 648.0000-649.0000 sec   109 MBytes   914 Mbits/sec
[  1] 649.0000-650.0000 sec   110 MBytes   923 Mbits/sec
[  1] 650.0000-651.0000 sec   109 MBytes   915 Mbits/sec
[  1] 651.0000-652.0000 sec   109 MBytes   914 Mbits/sec
[  1] 652.0000-653.0000 sec   110 MBytes   923 Mbits/sec
[  1] 653.0000-654.0000 sec   109 MBytes   914 Mbits/sec
[  1] 654.0000-655.0000 sec   110 MBytes   923 Mbits/sec
[  1] 655.0000-656.0000 sec   109 MBytes   915 Mbits/sec
[  1] 656.0000-657.0000 sec   110 MBytes   923 Mbits/sec
[  1] 657.0000-658.0000 sec   109 MBytes   914 Mbits/sec
[  1] 658.0000-659.0000 sec   109 MBytes   915 Mbits/sec
[  1] 659.0000-660.0000 sec   110 MBytes   923 Mbits/sec
[  1] 660.0000-661.0000 sec   109 MBytes   914 Mbits/sec
[  1] 661.0000-662.0000 sec   110 MBytes   923 Mbits/sec
[  1] 662.0000-663.0000 sec   109 MBytes   915 Mbits/sec
[  1] 663.0000-664.0000 sec   109 MBytes   914 Mbits/sec
[  1] 664.0000-665.0000 sec   110 MBytes   923 Mbits/sec
[  1] 665.0000-666.0000 sec   109 MBytes   914 Mbits/sec
[  1] 666.0000-667.0000 sec   110 MBytes   923 Mbits/sec
[  1] 667.0000-668.0000 sec   109 MBytes   915 Mbits/sec
[  1] 668.0000-669.0000 sec   109 MBytes   915 Mbits/sec
[  1] 669.0000-670.0000 sec   110 MBytes   923 Mbits/sec
[  1] 670.0000-671.0000 sec   109 MBytes   914 Mbits/sec
[  1] 671.0000-672.0000 sec   110 MBytes   923 Mbits/sec
[  1] 672.0000-673.0000 sec   109 MBytes   914 Mbits/sec
[  1] 673.0000-674.0000 sec   110 MBytes   923 Mbits/sec
[  1] 674.0000-675.0000 sec   109 MBytes   915 Mbits/sec
[  1] 675.0000-676.0000 sec   109 MBytes   914 Mbits/sec
[  1] 676.0000-677.0000 sec   110 MBytes   923 Mbits/sec
[  1] 677.0000-678.0000 sec   109 MBytes   915 Mbits/sec
[  1] 678.0000-679.0000 sec   110 MBytes   923 Mbits/sec
[  1] 679.0000-680.0000 sec   109 MBytes   914 Mbits/sec
[  1] 680.0000-681.0000 sec   109 MBytes   915 Mbits/sec
[  1] 681.0000-682.0000 sec   110 MBytes   923 Mbits/sec
[  1] 682.0000-683.0000 sec   109 MBytes   914 Mbits/sec
[  1] 683.0000-684.0000 sec   110 MBytes   923 Mbits/sec
[  1] 684.0000-685.0000 sec   109 MBytes   914 Mbits/sec
[  1] 685.0000-686.0000 sec   109 MBytes   915 Mbits/sec
[  1] 686.0000-687.0000 sec   110 MBytes   923 Mbits/sec
[  1] 687.0000-688.0000 sec   109 MBytes   914 Mbits/sec
[  1] 688.0000-689.0000 sec   110 MBytes   923 Mbits/sec
[  1] 689.0000-690.0000 sec   109 MBytes   915 Mbits/sec
[  1] 690.0000-691.0000 sec   109 MBytes   915 Mbits/sec
[  1] 691.0000-692.0000 sec   110 MBytes   922 Mbits/sec
[  1] 692.0000-693.0000 sec   109 MBytes   915 Mbits/sec
[  1] 693.0000-694.0000 sec   110 MBytes   923 Mbits/sec
[  1] 694.0000-695.0000 sec   109 MBytes   914 Mbits/sec
[  1] 695.0000-696.0000 sec   110 MBytes   923 Mbits/sec
[  1] 696.0000-697.0000 sec   109 MBytes   915 Mbits/sec
[  1] 697.0000-698.0000 sec   109 MBytes   914 Mbits/sec
[  1] 698.0000-699.0000 sec   110 MBytes   924 Mbits/sec
[  1] 699.0000-700.0000 sec   109 MBytes   914 Mbits/sec
[  1] 700.0000-701.0000 sec   110 MBytes   923 Mbits/sec
[  1] 701.0000-702.0000 sec   109 MBytes   914 Mbits/sec
[  1] 702.0000-703.0000 sec   109 MBytes   915 Mbits/sec
[  1] 703.0000-704.0000 sec   110 MBytes   923 Mbits/sec
[  1] 704.0000-705.0000 sec   109 MBytes   914 Mbits/sec
[  1] 705.0000-706.0000 sec   110 MBytes   923 Mbits/sec
[  1] 706.0000-707.0000 sec   109 MBytes   915 Mbits/sec
[  1] 707.0000-708.0000 sec   109 MBytes   914 Mbits/sec
[  1] 708.0000-709.0000 sec   110 MBytes   923 Mbits/sec
[  1] 709.0000-710.0000 sec   109 MBytes   915 Mbits/sec
[  1] 710.0000-711.0000 sec   110 MBytes   923 Mbits/sec
[  1] 711.0000-712.0000 sec   109 MBytes   914 Mbits/sec
[  1] 712.0000-713.0000 sec   109 MBytes   915 Mbits/sec
[  1] 713.0000-714.0000 sec   110 MBytes   923 Mbits/sec
[  1] 714.0000-715.0000 sec   109 MBytes   914 Mbits/sec
[  1] 715.0000-716.0000 sec   110 MBytes   923 Mbits/sec
[  1] 716.0000-717.0000 sec   109 MBytes   915 Mbits/sec
[  1] 717.0000-718.0000 sec   108 MBytes   908 Mbits/sec
[  1] 718.0000-719.0000 sec   109 MBytes   915 Mbits/sec
[  1] 719.0000-720.0000 sec   110 MBytes   923 Mbits/sec
[  1] 720.0000-721.0000 sec   109 MBytes   914 Mbits/sec
[  1] 721.0000-722.0000 sec   110 MBytes   923 Mbits/sec
[  1] 722.0000-723.0000 sec   109 MBytes   914 Mbits/sec
[  1] 723.0000-724.0000 sec   109 MBytes   915 Mbits/sec
[  1] 724.0000-725.0000 sec   110 MBytes   923 Mbits/sec
[  1] 725.0000-726.0000 sec   109 MBytes   914 Mbits/sec
[  1] 726.0000-727.0000 sec   110 MBytes   923 Mbits/sec
[  1] 727.0000-728.0000 sec   109 MBytes   915 Mbits/sec
[  1] 728.0000-729.0000 sec   109 MBytes   914 Mbits/sec
[  1] 729.0000-730.0000 sec   110 MBytes   923 Mbits/sec
[  1] 730.0000-731.0000 sec   109 MBytes   915 Mbits/sec
[  1] 731.0000-732.0000 sec   110 MBytes   922 Mbits/sec
[  1] 732.0000-733.0000 sec   109 MBytes   915 Mbits/sec
[  1] 733.0000-734.0000 sec   109 MBytes   914 Mbits/sec
[  1] 734.0000-735.0000 sec   110 MBytes   923 Mbits/sec
[  1] 735.0000-736.0000 sec   109 MBytes   915 Mbits/sec
[  1] 736.0000-737.0000 sec   110 MBytes   923 Mbits/sec
[  1] 737.0000-738.0000 sec   109 MBytes   914 Mbits/sec
[  1] 738.0000-739.0000 sec   109 MBytes   915 Mbits/sec
[  1] 739.0000-740.0000 sec   110 MBytes   923 Mbits/sec
[  1] 740.0000-741.0000 sec   109 MBytes   914 Mbits/sec
[  1] 741.0000-742.0000 sec   110 MBytes   923 Mbits/sec
[  1] 742.0000-743.0000 sec   109 MBytes   915 Mbits/sec
[  1] 743.0000-744.0000 sec   109 MBytes   914 Mbits/sec
[  1] 744.0000-745.0000 sec   110 MBytes   923 Mbits/sec
[  1] 745.0000-746.0000 sec   109 MBytes   915 Mbits/sec
[  1] 746.0000-747.0000 sec   110 MBytes   923 Mbits/sec
[  1] 747.0000-748.0000 sec   109 MBytes   915 Mbits/sec
[  1] 748.0000-749.0000 sec   109 MBytes   914 Mbits/sec
[  1] 749.0000-750.0000 sec   110 MBytes   923 Mbits/sec
[  1] 750.0000-751.0000 sec   109 MBytes   914 Mbits/sec
[  1] 751.0000-752.0000 sec   109 MBytes   915 Mbits/sec
[  1] 752.0000-753.0000 sec   110 MBytes   923 Mbits/sec
[  1] 753.0000-754.0000 sec   109 MBytes   914 Mbits/sec
[  1] 754.0000-755.0000 sec   110 MBytes   923 Mbits/sec
[  1] 755.0000-756.0000 sec   109 MBytes   915 Mbits/sec
[  1] 756.0000-757.0000 sec   109 MBytes   914 Mbits/sec
[  1] 757.0000-758.0000 sec   110 MBytes   923 Mbits/sec
[  1] 758.0000-759.0000 sec   109 MBytes   915 Mbits/sec
[  1] 759.0000-760.0000 sec   110 MBytes   923 Mbits/sec
[  1] 760.0000-761.0000 sec   108 MBytes   907 Mbits/sec
[  1] 761.0000-762.0000 sec   109 MBytes   914 Mbits/sec
[  1] 762.0000-763.0000 sec   110 MBytes   923 Mbits/sec
[  1] 763.0000-764.0000 sec   109 MBytes   915 Mbits/sec
[  1] 764.0000-765.0000 sec   110 MBytes   923 Mbits/sec
[  1] 765.0000-766.0000 sec   109 MBytes   914 Mbits/sec
[  1] 766.0000-767.0000 sec   109 MBytes   915 Mbits/sec
[  1] 767.0000-768.0000 sec   110 MBytes   923 Mbits/sec
[  1] 768.0000-769.0000 sec   109 MBytes   914 Mbits/sec
[  1] 769.0000-770.0000 sec   110 MBytes   923 Mbits/sec
[  1] 770.0000-771.0000 sec   109 MBytes   914 Mbits/sec
[  1] 771.0000-772.0000 sec   109 MBytes   915 Mbits/sec
[  1] 772.0000-773.0000 sec   110 MBytes   923 Mbits/sec
[  1] 773.0000-774.0000 sec   109 MBytes   914 Mbits/sec
[  1] 774.0000-775.0000 sec   110 MBytes   923 Mbits/sec
[  1] 775.0000-776.0000 sec   109 MBytes   915 Mbits/sec
[  1] 776.0000-777.0000 sec   109 MBytes   914 Mbits/sec
[  1] 777.0000-778.0000 sec   110 MBytes   923 Mbits/sec
[  1] 778.0000-779.0000 sec   109 MBytes   915 Mbits/sec
[  1] 779.0000-780.0000 sec   110 MBytes   923 Mbits/sec
[  1] 780.0000-781.0000 sec   109 MBytes   914 Mbits/sec
[  1] 781.0000-782.0000 sec   109 MBytes   915 Mbits/sec
[  1] 782.0000-783.0000 sec   110 MBytes   923 Mbits/sec
[  1] 783.0000-784.0000 sec   109 MBytes   914 Mbits/sec
[  1] 784.0000-785.0000 sec   110 MBytes   923 Mbits/sec
[  1] 785.0000-786.0000 sec   109 MBytes   915 Mbits/sec
[  1] 786.0000-787.0000 sec   109 MBytes   914 Mbits/sec
[  1] 787.0000-788.0000 sec   110 MBytes   923 Mbits/sec
[  1] 788.0000-789.0000 sec   109 MBytes   915 Mbits/sec
